,2019_1,2019_2,2019_3,2019_4,2020_1,2020_2,2020_3,2020_4,2021_1,2021_2,2021_3,2021_4,2022_1,2022_2,2022_3,2022_4,2023_1,2023_2,2023_3,2023_4,2024_1,2024_2,2024_3,2024_4
1,5,5,5,3,2,2,2,2,4,5,5,2,2,3,2,2,5,3,1,2,1,3,4,3
2,2,2,2,3,4,1,2,3,3,4,4,2,1,4,5,1,5,2,4,5,3,5,5,2
3,2,3,4,3,1,3,3,1,5,5,4,3,4,3,3,2,2,4,5,3,3,1,5,4
4,1,4,5,4,4,5,5,4,4,5,5,3,3,3,4,5,2,4,5,4,5,3,4,3
5,4,5,1,1,5,1,3,5,3,5,2,3,1,2,1,5,5,2,1,5,3,4,5,3
6,1,3,3,5,2,5,4,4,2,5,5,2,5,5,1,3,5,5,4,3,1,2,5,4
7,5,1,2,3,5,5,2,2,2,3,1,4,4,5,3,1,2,3,5,3,2,1,4,1
8,5,2,5,4,4,3,4,2,5,2,5,4,2,5,1,4,1,5,5,4,4,3,4,1
9,1,3,5,4,1,4,4,5,4,4,3,5,5,3,4,3,4,3,2,3,5,4,4,2
10,4,1,1,2,2,4,4,5,2,4,2,1,2,2,4,4,2,4,2,1,2,4,1,5
11,3,1,1,4,5,4,2,3,5,5,5,2,3,4,5,5,5,4,5,2,4,3,3,5
12,5,2,4,3,2,4,4,2,5,2,2,3,3,1,1,2,1,1,2,1,2,4,2,5
13,3,5,5,3,2,3,2,1,3,3,1,4,4,5,5,3,3,2,2,5,1,5,1,5
14,5,2,2,3,4,3,4,1,3,3,3,2,4,5,2,1,5,1,4,3,1,3,3,4
15,2,3,2,5,4,3,3,3,5,5,5,3,4,4,4,2,4,5,2,3,3,3,3,2
16,4,5,5,3,5,1,3,2,2,3,4,2,2,3,5,3,4,2,2,4,5,4,1,3
17,5,3,4,2,5,4,4,5,4,2,4,5,4,5,4,5,3,4,5,5,5,2,4,2
18,1,4,2,4,3,2,5,4,2,4,3,3,3,2,5,4,2,5,2,3,4,1,5,2
19,4,1,3,1,3,1,5,1,2,1,3,1,3,2,2,4,3,1,2,2,2,1,4,2
20,5,5,3,5,4,3,1,5,3,1,1,2,4,5,4,4,3,2,4,1,3,3,1,2
21,4,2,4,,3,2,3,,1,3,4,,1,3,4,,5,3,4,,5,2,4,
22,2,1,4,,1,4,2,,5,2,1,,1,3,2,,3,3,2,,5,3,4,
23,2,2,1,,3,2,3,,5,2,5,,5,,4,,2,,3,,2,4,1,
24,2,2,5,,5,2,5,,2,4,5,,5,3,1,,4,3,2,,2,2,4,
25,2,5,3,,4,4,4,,2,,5,,4,3,3,,1,3,4,,1,3,5,
26,4,3,2,,4,1,2,,1,3,5,,5,2,2,,4,4,1,,4,2,3,
27,1,1,3,,2,1,1,,5,3,1,,5,3,4,,5,1,2,,5,3,1,
28,3,2,4,,2,3,2,,3,3,4,,1,3,4,,2,3,5,,3,4,4,
29,3,5,3,,5,3,3,,1,2,4,,4,,2,,3,3,3,,2,2,2,
30,5,5,5,,4,3,5,,5,4,4,,3,3,5,,4,4,4,,5,3,3,
31,1,1,4,,5,2,4,,4,3,3,,4,2,3,,4,4,5,,2,2,5,
32,3,2,4,,5,3,1,,4,4,4,,3,4,3,,4,2,3,,5,2,3,
33,2,5,5,,5,1,2,,2,3,2,,4,3,2,,1,3,2,,4,3,1,
34,5,2,5,,2,5,4,,5,1,2,,1,2,2,,1,4,5,,1,2,3,
35,5,2,2,,2,2,5,,5,1,4,,1,2,2,,5,2,2,,5,2,2,
36,4,1,2,,5,4,2,,5,5,4,,1,5,2,,5,1,2,,2,4,4,
37,5,4,2,,3,4,2,,3,4,2,,5,3,4,,3,3,2,,4,5,3,
38,2,4,4,,1,2,5,,3,3,1,,1,4,3,,1,2,5,,3,4,2,
39,4,4,1,,4,4,1,,2,5,5,,4,4,4,,5,4,4,,2,4,1,
40,1,1,1,,5,5,1,,3,3,2,,3,1,3,,5,4,5,,5,2,1,
41,1,3,1,,3,3,4,,4,4,4,,4,3,4,,1,2,4,,3,2,4,
42,5,4,4,,2,4,5,,3,3,1,,4,4,3,,1,4,1,,1,4,1,
43,1,5,5,,3,5,5,,1,3,1,,5,4,5,,2,5,4,,3,4,1,
44,5,4,5,,3,3,3,,3,3,1,,4,5,4,,5,3,3,,3,5,5,
45,3,3,5,,3,2,5,,1,2,5,,5,5,4,,3,4,5,,1,2,4,
46,1,2,4,,3,3,2,,2,2,2,,2,4,3,,5,3,1,,5,2,3,
47,2,4,2,,3,4,5,,2,4,2,,4,4,4,,2,4,4,,2,3,3,
48,2,5,3,,5,4,4,,1,2,5,,5,5,1,,2,5,4,,5,1,5,
49,2,1,2,,2,2,1,,3,4,4,,2,5,5,,2,1,5,,3,3,2,
50,1,4,1,,1,3,3,,2,5,2,,5,1,4,,3,1,4,,3,1,4,
51,4,2,2,,3,4,5,,4,3,5,,5,4,1,,1,5,5,,5,3,4,
52,2,1,5,,4,3,1,,5,5,4,,3,3,4,,5,4,5,,3,1,1,
53,2,5,3,,3,3,4,,2,1,5,,3,5,1,,5,3,3,,4,2,5,
54,4,2,1,,4,2,4,,2,1,4,,2,4,3,,4,4,4,,3,2,5,
55,2,5,1,,1,5,1,,2,4,3,,2,2,5,,1,3,5,,1,2,3,
56,2,4,2,,1,5,3,,4,4,3,,1,1,3,,2,4,4,,1,5,1,
57,1,5,3,,2,1,1,,5,4,4,,2,5,4,,2,3,1,,4,2,5,
58,5,5,2,,5,2,3,,4,1,5,,2,3,2,,1,3,2,,4,4,1,
59,2,2,5,,1,5,1,,2,4,3,,5,2,3,,1,5,4,,2,3,4,
60,3,1,5,,2,2,4,,2,1,2,,4,5,3,,2,2,1,,5,2,3,
61,5,5,4,,2,1,3,,5,3,5,,3,3,4,,5,1,3,,4,1,1,
62,3,5,1,,4,2,4,,2,4,1,,5,2,5,,4,4,1,,2,3,5,
63,1,1,1,,3,5,5,,3,1,4,,3,5,1,,4,5,1,,1,3,4,
64,3,4,1,,3,4,2,,2,3,5,,1,3,1,,1,2,4,,1,3,1,
65,1,5,5,,5,3,2,,4,3,5,,3,5,1,,1,2,2,,2,2,4,
66,5,2,1,,2,5,5,,4,3,3,,3,3,4,,5,1,5,,1,2,2,
67,1,5,3,,1,4,1,,1,5,2,,1,3,1,,1,4,1,,5,3,2,
68,4,1,1,,2,3,2,,1,3,3,,1,4,2,,4,3,1,,2,1,4,
69,1,1,4,,2,2,4,,3,3,4,,1,4,2,,5,3,2,,3,4,1,
70,5,4,1,,5,2,4,,4,3,1,,5,1,2,,5,2,5,,1,4,5,
71,2,2,2,,2,5,4,,5,1,4,,1,2,2,,3,3,5,,4,1,1,
72,3,5,5,,2,5,3,,5,2,4,,1,1,4,,4,2,2,,4,4,2,
73,3,3,2,,1,4,2,,5,5,2,,1,5,5,,3,5,5,,5,5,5,
74,1,1,3,,2,1,3,,4,5,2,,1,2,3,,4,2,4,,1,5,5,
75,2,4,3,,2,1,4,,5,5,2,,2,1,1,,1,4,4,,4,1,4,
76,5,1,3,,4,1,4,,3,4,5,,5,4,3,,5,1,1,,1,5,2,
77,4,5,1,,3,5,3,,5,4,3,,1,2,1,,1,4,5,,4,2,4,
78,1,4,3,,2,4,4,,5,3,5,,5,4,1,,1,1,1,,5,5,4,
79,3,5,2,,1,1,3,,1,2,4,,5,3,4,,3,3,3,,2,4,1,
