,2019_1-1,2019_1-2,2019_1-3,2019_1-4,2019_1-5,2019_2-1,2019_2-2,2019_2-3,2019_2-4,2019_2-5,2019_3-1,2019_3-2,2019_3-3,2019_3-4,2019_4-1,2020_1-1,2020_1-2,2020_1-3,2020_1-4,2020_1-5,2020_2-1,2020_2-2,2020_2-3,2020_2-4,2020_2-5,2020_3-1,2020_3-2,2020_3-3,2020_3-4,2020_4-1,2021_1-1,2021_1-2,2021_1-3,2021_1-4,2021_1-5,2021_2-1,2021_2-2,2021_2-3,2021_2-4,2021_2-5,2021_3-1,2021_3-2,2021_3-3,2021_3-4,2021_4-1,2022_1-1,2022_1-2,2022_1-3,2022_1-4,2022_1-5,2022_2-1,2022_2-2,2022_2-3,2022_2-4,2022_2-5,2022_3-1,2022_3-2,2022_3-3,2022_3-4,2022_4-1,2023_1-1,2023_1-2,2023_1-3,2023_1-4,2023_1-5,2023_2-1,2023_2-2,2023_2-3,2023_2-4,2023_2-5,2023_3-1,2023_3-2,2023_3-3,2023_3-4,2023_4-1,2024_1-1,2024_1-2,2024_1-3,2024_1-4,2024_1-5,2024_2-1,2024_2-2,2024_2-3,2024_2-4,2024_2-5,2024_3-1,2024_3-2,2024_3-3,2024_3-4,2024_4-1
1,3,4,1,4,5,4,2,1,5,3,5,3,4,3,4,2,3,3,2,3,2,4,4,5,5,2,4,4,3,2,3,1,3,5,1,5,4,4,4,5,5,5,4,1,2,3,1,4,3,1,3,4,1,2,4,2,1,3,4,1,1,2,5,5,2,3,4,3,3,5,1,3,5,3,5,1,5,3,4,4,3,4,4,2,4,4,4,3,1,4
2,2,2,4,3,3,3,5,4,4,1,1,1,2,5,1,4,1,2,4,1,1,3,2,2,1,5,3,1,4,4,3,4,4,2,3,2,3,4,4,5,4,4,2,4,2,1,4,2,3,5,4,4,4,1,2,5,4,4,4,3,4,3,1,4,4,2,3,2,4,2,4,3,3,4,4,4,3,4,4,3,5,4,3,4,5,4,1,4,3,2
3,2,2,1,1,5,3,2,4,5,4,4,4,1,4,3,1,3,1,4,5,4,2,4,1,1,3,3,3,2,4,5,2,1,3,3,5,3,4,4,4,3,3,3,2,4,4,5,5,3,1,3,2,4,5,1,3,5,4,2,2,2,2,5,2,1,4,4,4,3,4,5,3,2,3,2,2,2,3,1,4,1,1,4,4,4,4,5,5,5,4
4,4,2,3,3,2,4,4,4,5,1,5,4,4,3,2,4,5,3,1,1,4,1,4,2,1,5,3,5,4,3,4,2,3,2,3,4,2,3,5,4,5,4,2,4,3,4,5,4,1,5,4,4,4,4,3,4,1,4,3,3,4,4,5,3,4,4,4,2,2,1,5,2,2,1,2,5,2,3,1,2,3,4,2,4,5,4,3,1,5,3
5,4,2,3,1,3,5,4,4,2,5,1,1,1,5,2,5,4,3,4,5,1,4,4,4,5,3,1,4,3,5,3,2,1,4,3,3,4,4,4,3,4,1,4,4,3,1,4,5,4,5,4,4,3,2,2,3,5,1,4,4,3,1,3,1,1,2,2,2,4,4,1,3,1,3,1,4,1,3,2,1,4,4,4,3,2,5,3,3,4,1
6,1,5,1,4,1,3,3,4,4,4,3,3,2,2,3,2,4,3,2,3,3,4,2,2,4,4,2,5,1,4,2,1,2,5,3,1,3,4,1,3,4,3,2,3,1,2,3,1,3,5,5,4,4,5,4,1,4,3,5,5,5,4,4,5,5,4,4,4,4,4,4,2,3,1,4,4,4,4,1,2,2,4,4,3,5,5,1,2,3,4
7,5,1,2,1,1,3,4,5,4,5,2,3,4,5,4,5,2,3,1,5,3,3,4,1,2,2,4,4,4,4,3,5,2,3,3,3,4,3,1,4,2,4,4,4,2,4,5,1,4,3,4,4,4,2,3,3,3,3,4,1,2,3,2,1,3,3,4,4,1,3,4,4,1,2,3,2,3,2,5,3,1,1,4,5,4,4,4,1,4,4
8,4,3,2,4,4,4,4,4,5,3,4,4,4,4,4,4,3,5,4,1,3,4,4,2,5,4,4,3,4,3,4,1,1,1,5,2,4,3,3,5,4,1,4,3,2,2,1,2,1,3,4,4,5,2,1,4,3,1,4,3,4,5,2,3,4,4,4,4,4,4,4,2,4,4,4,2,3,5,2,4,4,2,5,3,1,4,3,1,4,1
9,1,3,2,1,2,4,4,4,1,3,5,3,4,4,4,1,5,2,4,3,4,4,4,5,4,4,3,4,3,5,1,1,4,3,4,4,4,2,1,5,3,1,4,3,1,4,4,2,1,2,3,4,4,5,4,4,3,3,1,1,1,1,2,5,3,4,4,4,4,2,2,4,4,2,3,4,3,3,3,3,4,3,2,2,4,4,2,2,1,4
10,3,5,1,5,4,1,4,2,4,1,5,4,5,2,2,2,4,1,1,3,4,4,4,4,1,4,2,5,4,5,2,5,2,4,5,3,1,4,4,4,3,2,5,5,4,4,3,4,4,5,4,4,4,4,4,4,3,1,2,3,3,4,3,4,1,4,4,4,2,4,2,4,4,5,4,2,1,3,1,3,4,1,1,3,4,4,2,2,5,4
11,3,1,4,2,2,1,4,4,5,4,2,1,1,2,2,4,2,3,2,3,4,4,4,3,4,3,5,4,2,3,5,4,4,5,3,4,4,4,3,1,4,3,1,1,5,3,4,5,4,5,4,4,4,2,5,5,4,5,1,4,5,4,1,3,1,4,4,2,2,2,5,4,5,2,4,4,2,5,1,1,2,4,4,5,1,3,4,4,1,5
12,5,3,2,4,4,2,1,4,2,2,4,2,1,5,4,2,4,4,2,1,4,4,4,3,1,4,4,1,3,4,5,4,5,4,3,2,3,2,3,1,2,5,3,4,3,3,4,3,4,4,5,3,5,4,5,4,4,5,2,4,1,4,5,3,3,1,3,3,2,3,3,2,3,5,1,2,5,3,4,1,3,4,1,4,5,2,2,3,4,4
