,2019_1,2019_2,2019_3,2019_4,2020_1,2020_2,2020_3,2020_4,2021_1,2021_2,2021_3,2021_4,2022_1,2022_2,2022_3,2022_4,2023_1,2023_2,2023_3,2023_4,2024_1,2024_2,2024_3,2024_4
1,4,5,5,3,2,2,2,2,4,5,4,2,2,3,2,1,5,3,1,3,1,3,1,4
2,2,3,2,1,4,1,2,1,3,2,1,2,1,4,5,1,1,2,4,1,4,5,5,2
3,1,2,4,3,1,1,4,3,5,5,3,4,4,3,3,2,2,4,5,5,2,1,4,3
4,1,4,5,2,4,4,4,4,4,4,5,2,5,3,4,5,5,3,5,3,5,3,4,5
5,4,5,1,1,5,1,3,5,3,5,5,3,1,2,1,5,5,2,1,1,3,4,5,3
6,1,3,3,3,2,3,4,5,2,1,5,1,3,5,1,3,5,3,4,4,5,2,2,4
7,5,5,2,1,5,3,2,1,2,3,4,2,4,4,3,4,2,3,5,3,2,1,4,5
8,5,2,5,4,4,5,4,2,3,2,5,2,2,5,5,3,1,2,1,2,4,3,4,1
9,1,2,5,5,1,4,4,5,4,4,3,5,4,3,5,3,4,3,2,3,5,4,3,3
10,3,1,1,3,2,4,4,,2,3,2,1,4,5,4,4,2,2,2,4,2,3,2,5
11,3,3,1,5,5,2,2,5,5,3,5,5,3,3,5,5,5,4,1,2,4,3,3,5
12,5,2,4,2,2,4,4,5,5,2,2,1,3,5,1,4,1,1,2,1,2,3,2,4
13,3,3,5,3,2,3,2,3,3,2,1,1,4,2,5,3,3,3,2,5,1,2,1,1
14,5,2,2,1,4,1,4,1,3,3,3,5,4,5,2,1,5,2,4,3,1,2,3,1
15,2,3,2,5,4,3,3,2,5,3,5,5,4,4,1,3,4,5,2,5,3,5,3,2
16,4,3,5,3,5,1,3,2,4,5,5,5,2,3,1,2,4,2,2,4,5,2,1,3
17,5,3,4,2,5,3,4,5,4,2,2,4,4,3,2,5,3,5,4,5,5,3,4,2
18,1,2,2,4,3,2,5,4,2,5,3,3,3,2,4,2,2,2,2,3,4,1,5,2
19,4,2,3,4,3,3,5,1,2,3,3,1,3,3,4,2,3,3,4,2,2,3,2,4
20,1,5,3,5,3,3,1,1,3,5,2,2,1,4,5,4,3,3,5,1,2,3,1,2
21,4,2,4,,3,2,3,,1,3,4,,1,3,4,,5,3,4,,5,1,4,
22,2,3,4,,1,3,2,,5,2,1,,1,1,2,,3,3,2,,5,1,5,
23,2,1,1,,3,1,3,,5,3,1,,5,3,4,,2,2,3,,2,2,1,
24,2,2,5,,2,2,5,,2,3,5,,5,3,1,,4,3,2,,2,2,4,
25,2,5,3,,4,5,4,,2,1,5,,4,3,3,,1,1,4,,1,3,5,
26,4,3,2,,4,3,2,,1,3,5,,5,3,4,,4,3,1,,4,2,3,
27,1,3,3,,2,4,1,,5,1,1,,5,3,4,,3,1,4,,4,3,2,
28,3,1,4,,2,3,2,,3,1,4,,1,1,4,,2,3,5,,3,1,1,
29,3,1,3,,5,3,3,,1,2,4,,4,1,5,,1,3,3,,3,1,5,
30,5,1,5,,4,1,5,,5,2,4,,3,3,5,,4,4,4,,5,1,4,
31,1,1,3,,5,2,4,,4,1,3,,4,1,1,,4,4,4,,2,2,3,
32,3,1,4,,5,3,1,,4,1,4,,4,1,4,,4,1,3,,5,2,3,
33,2,1,5,,5,3,2,,3,4,2,,4,5,2,,1,3,2,,4,2,4,
34,3,1,5,,2,5,4,,5,4,2,,1,2,2,,1,4,5,,1,1,3,
35,5,3,2,,2,3,1,,5,3,4,,1,3,2,,5,3,2,,5,3,1,
36,4,1,2,,5,3,2,,5,2,4,,1,5,2,,5,1,1,,2,1,4,
37,5,3,2,,3,4,2,,3,2,2,,5,1,4,,3,3,2,,4,2,3,
38,2,4,3,,1,2,5,,3,3,1,,1,3,3,,1,2,5,,3,3,2,
39,4,4,1,,4,3,1,,2,4,5,,4,2,4,,5,5,4,,2,4,1,
40,1,1,1,,5,3,1,,3,3,1,,3,3,3,,5,2,5,,5,2,1,
41,1,4,1,,3,3,4,,5,1,4,,4,3,4,,5,5,4,,3,5,3,
42,5,3,4,,2,4,5,,4,3,1,,1,2,3,,1,4,1,,1,2,1,
43,1,5,5,,3,5,5,,1,2,1,,5,4,5,,3,3,3,,3,3,1,
44,3,4,5,,3,3,3,,3,3,3,,4,5,2,,5,3,3,,3,5,2,
45,3,3,4,,3,3,5,,1,3,5,,5,3,4,,3,3,1,,4,5,4,
46,1,2,4,,3,3,2,,2,3,2,,1,4,3,,5,3,1,,4,2,3,
47,2,4,2,,3,4,5,,2,4,2,,4,4,4,,2,2,4,,2,4,3,
48,2,1,3,,5,4,4,,3,2,5,,5,5,1,,2,5,4,,5,1,5,
49,2,1,2,,2,2,1,,5,4,3,,2,5,5,,2,3,5,,3,3,2,
50,1,4,1,,1,3,3,,2,5,2,,5,1,4,,3,1,3,,3,1,3,
51,4,2,2,,3,3,5,,4,3,5,,5,4,1,,1,5,5,,5,3,3,
52,2,1,5,,4,3,1,,5,5,4,,3,5,4,,5,4,5,,3,1,2,
53,2,5,2,,3,3,4,,5,3,5,,3,5,1,,5,3,3,,4,3,4,
54,4,3,1,,4,1,4,,2,1,4,,2,4,3,,4,3,4,,3,2,5,
55,2,5,1,,1,5,1,,2,4,3,,2,2,5,,1,3,5,,5,2,3,
56,2,4,2,,1,5,3,,4,4,3,,1,1,3,,2,5,4,,1,5,1,
57,1,5,3,,2,1,3,,5,4,4,,2,5,4,,2,3,2,,4,3,5,
58,5,5,2,,5,5,3,,4,1,5,,2,5,2,,1,5,2,,4,5,1,
